ANIO,MES,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,PRESTADOR,PROB_COMERCIAL,PROB_OPERACIONAL,PROB_OTROS,FECHA_CORTE;;;;;;;;;;;=
2021,202101,160113,Loreto,Maynas,San Juan Bautista,EPS SEDALORETO S.A.,14,3,1,20230808;;;;;;;;;;;
2021,202101,120301,Junin,Chanchamayo,Chanchamayo,EPS SELVA CENTRAL S.A.,2,0,1,20230808;;;;;;;;;;;
2021,202101,120303,Junin,Chanchamayo,Pichanaqui,EPS SELVA CENTRAL S.A.,2,0,0,20230808;;;;;;;;;;;
2021,202101,120305,Junin,Chanchamayo,San Ramon,EPS SELVA CENTRAL S.A.,0,4,0,20230808;;;;;;;;;;;
2021,202101,120601,Junin,Satipo,Satipo,EPS SELVA CENTRAL S.A.,1,0,0,20230808;;;;;;;;;;;
2021,202101,190301,Pasco,Oxapampa,Oxapampa,EPS SELVA CENTRAL S.A.,0,0,1,20230808;;;;;;;;;;;
2021,202101,110201,Ica,Chincha,Chincha Alta,EPS SEMAPACH S.A.,6,8,3,20230808;;;;;;;;;;;
2021,202101,110204,Ica,Chincha,Chincha Baja,EPS SEMAPACH S.A.,1,0,0,20230808;;;;;;;;;;;
2021,202101,110206,Ica,Chincha,Grocio Prado,EPS SEMAPACH S.A.,0,1,1,20230808;;;;;;;;;;;
2021,202101,110207,Ica,Chincha,Pueblo Nuevo,EPS SEMAPACH S.A.,0,2,0,20230808;;;;;;;;;;;
2021,202101,110210,Ica,Chincha,Sunampe,EPS SEMAPACH S.A.,0,0,1,20230808;;;;;;;;;;;
2021,202101,120701,Junin,Tarma,Tarma,EPS SIERRA CENTRAL S.R.L,1,0,0,20230808;;;;;;;;;;;
2021,202101,230102,Tacna,Tacna,Alto de la Alianza,EPS TACNA S.A.,13,11,0,20230808;;;;;;;;;;;
2021,202101,230104,Tacna,Tacna,Ciudad Nueva,EPS TACNA S.A.,14,1,1,20230808;;;;;;;;;;;
2021,202101,230110,Tacna,Tacna,Coronel Gregorio Albarracin Lanchipa,EPS TACNA S.A.,40,15,10,20230808;;;;;;;;;;;
2021,202101,230108,Tacna,Tacna,Pocollay,EPS TACNA S.A.,6,0,3,20230808;;;;;;;;;;;
2021,202101,230101,Tacna,Tacna,Tacna,EPS TACNA S.A.,132,39,22,20230808;;;;;;;;;;;
2021,202101,140101,Lambayeque,Chiclayo,Chiclayo,EPSEL S.A.,397,141,92,20230808;;;;;;;;;;;
2021,202101,140102,Lambayeque,Chiclayo,Chongoyape,EPSEL S.A.,1,0,0,20230808;;;;;;;;;;;
2021,202101,140103,Lambayeque,Chiclayo,Eten,EPSEL S.A.,7,3,0,20230808;;;;;;;;;;;
2021,202101,140104,Lambayeque,Chiclayo,Eten Puerto,EPSEL S.A.,2,1,0,20230808;;;;;;;;;;;
2021,202101,140105,Lambayeque,Chiclayo,Jose Leonardo Ortiz,EPSEL S.A.,64,39,7,20230808;;;;;;;;;;;
2021,202101,140106,Lambayeque,Chiclayo,La Victoria,EPSEL S.A.,31,27,8,20230808;;;;;;;;;;;
2021,202101,140107,Lambayeque,Chiclayo,Lagunas,EPSEL S.A.,1,0,0,20230808;;;;;;;;;;;
2021,202101,140108,Lambayeque,Chiclayo,Monsefu,EPSEL S.A.,9,7,0,20230808;;;;;;;;;;;
2021,202101,140110,Lambayeque,Chiclayo,Oyotun,EPSEL S.A.,1,1,0,20230808;;;;;;;;;;;
2021,202101,140117,Lambayeque,Chiclayo,Patapo,EPSEL S.A.,1,1,0,20230808;;;;;;;;;;;
2021,202101,140112,Lambayeque,Chiclayo,Pimentel,EPSEL S.A.,28,47,3,20230808;;;;;;;;;;;
2021,202101,140113,Lambayeque,Chiclayo,Reque,EPSEL S.A.,18,0,1,20230808;;;;;;;;;;;
2021,202101,140114,Lambayeque,Chiclayo,Santa Rosa,EPSEL S.A.,1,3,1,20230808;;;;;;;;;;;
2021,202101,140120,Lambayeque,Chiclayo,Tuman,EPSEL S.A.,0,0,1,20230808;;;;;;;;;;;
2021,202101,140201,Lambayeque,Ferreñafe,Ferreñafe,EPSEL S.A.,8,11,3,20230808;;;;;;;;;;;
2021,202101,140206,Lambayeque,Ferreñafe,Pueblo Nuevo,EPSEL S.A.,2,2,0,20230808;;;;;;;;;;;
2021,202101,140303,Lambayeque,Lambayeque,Illimo,EPSEL S.A.,0,2,0,20230808;;;;;;;;;;;
2021,202101,140304,Lambayeque,Lambayeque,Jayanca,EPSEL S.A.,4,0,0,20230808;;;;;;;;;;;
2021,202101,140301,Lambayeque,Lambayeque,Lambayeque,EPSEL S.A.,14,11,4,20230808;;;;;;;;;;;
2021,202101,140305,Lambayeque,Lambayeque,Mochumi,EPSEL S.A.,0,4,1,20230808;;;;;;;;;;;
2021,202101,140307,Lambayeque,Lambayeque,Motupe,EPSEL S.A.,2,0,0,20230808;;;;;;;;;;;
2021,202101,140308,Lambayeque,Lambayeque,Olmos,EPSEL S.A.,3,0,0,20230808;;;;;;;;;;;
2021,202101,140312,Lambayeque,Lambayeque,Tucume,EPSEL S.A.,5,6,1,20230808;;;;;;;;;;;
2021,202101,010701,Amazonas,Utcubamba,Bagua Grande,EPSSMU S.A.,0,1,3,20230808;;;;;;;;;;;
2021,202101,030101,Apurimac,Abancay,Abancay,OTRO aMBITO URBANO,0,0,1,20230808;;;;;;;;;;;
2021,202101,080104,Cusco,Cusco,San Jeronimo,OTRO aMBITO URBANO,1,0,0,20230808;;;;;;;;;;;
2021,202101,100701,Huanuco,Marañon,Huacrachuco,OTRO aMBITO URBANO,0,0,1,20230808;;;;;;;;;;;
2021,202101,120107,Junin,Huancayo,Chilca,OTRO aMBITO URBANO,0,1,0,20230808;;;;;;;;;;;
2021,202101,120114,Junin,Huancayo,El Tambo,OTRO aMBITO URBANO,0,1,0,20230808;;;;;;;;;;;
2021,202101,120101,Junin,Huancayo,Huancayo,OTRO aMBITO URBANO,0,1,0,20230808;;;;;;;;;;;
2021,202101,150201,Lima,Barranca,Barranca,OTRO aMBITO URBANO,1,0,0,20230808;;;;;;;;;;;
2021,202101,150114,Lima,Lima,La Molina,OTRO aMBITO URBANO,0,0,1,20230808;;;;;;;;;;;
2021,202101,210101,Puno,Puno,Puno,OTRO aMBITO URBANO,0,0,1,20230808;;;;;;;;;;;
2021,202101,240101,Tumbes,Tumbes,Tumbes,OTRO aMBITO URBANO,0,1,1,20230808;;;;;;;;;;;
2021,202101,250105,Ucayali,Coronel Portillo,Yarinacocha,OTRO aMBITO URBANO,0,0,1,20230808;;;;;;;;;;;
2021,202101,050202,Ayacucho,Cangallo,Chuschi,OTRO PEQUEÑAS CIUDADES,0,0,1,20230808;;;;;;;;;;;
2021,202101,080301,Cusco,Anta,Anta,OTRO PEQUEÑAS CIUDADES,0,0,1,20230808;;;;;;;;;;;
2021,202101,090301,Huancavelica,Angaraes,Lircay,OTRO PEQUEÑAS CIUDADES,0,1,0,20230808;;;;;;;;;;;
2021,202101,090501,Huancavelica,Churcampa,Churcampa,OTRO PEQUEÑAS CIUDADES,0,0,1,20230808;;;;;;;;;;;
2021,202101,090117,Huancavelica,Huancavelica,Yauli,OTRO PEQUEÑAS CIUDADES,0,0,2,20230808;;;;;;;;;;;
2021,202101,110304,Ica,Nazca,Marcona,OTRO PEQUEÑAS CIUDADES,0,0,1,20230808;;;;;;;;;;;
2021,202101,120117,Junin,Huancayo,Hualhuas,OTRO PEQUEÑAS CIUDADES,1,1,5,20230808;;;;;;;;;;;
2021,202101,120128,Junin,Huancayo,Quilcas,OTRO PEQUEÑAS CIUDADES,0,0,6,20230808;;;;;;;;;;;
2021,202101,120130,Junin,Huancayo,San Jeronimo de Tunan,OTRO PEQUEÑAS CIUDADES,0,0,1,20230808;;;;;;;;;;;
2021,202101,150507,Lima,Cañete,Imperial,OTRO PEQUEÑAS CIUDADES,1,0,0,20230808;;;;;;;;;;;
2021,202101,170102,Madre de Dios,Tambopata,Inambari,OTRO PEQUEÑAS CIUDADES,0,0,1,20230808;;;;;;;;;;;
2021,202101,200105,Piura,Piura,Catacaos,OTRO PEQUEÑAS CIUDADES,0,2,0,20230808;;;;;;;;;;;
2021,202101,210504,Puno,El Collao,Santa Rosa,OTRO PEQUEÑAS CIUDADES,0,0,1,20230808;;;;;;;;;;;
