NUM;FECHA_CORTE;PERIODO;TIPO_LARGA_DISTANCIA;EMPRESA;CÓDIGO;TIPO_TRÁFICO;TRÁFICO;;;;;;;;
134;20240617;200302;Larga Distancia Internacional - Saliente;CONVERGIA PERÚ S.A.;A;Preselección;50,961.00;;;;;;;;
135;20240617;200302;Larga Distancia Nacional;CONVERGIA PERÚ S.A.;B;Llamada por Llamada;55,722.00;;;;;;;;
136;20240617;200302;Larga Distancia Internacional - Saliente;CONVERGIA PERÚ S.A.;B;Llamada por Llamada;92,735.00;;;;;;;;
137;20240617;200302;Larga Distancia Nacional;CONVERGIA PERÚ S.A.;C;Tarjetas de Pago;930.20;;;;;;;;
138;20240617;200302;Larga Distancia Internacional - Saliente;CONVERGIA PERÚ S.A.;C;Tarjetas de Pago;2,740.00;;;;;;;;
139;20240617;200302;Larga Distancia Internacional - Entrante;CONVERGIA PERÚ S.A.;H;No reportado;1,854,209.00;;;;;;;;
140;20240617;200302;Larga Distancia Nacional;DIGITAL WAY S.A. / 1910 S.A.  ;A;Preselección;42.00;;;;;;;;
141;20240617;200302;Larga Distancia Internacional - Saliente;DIGITAL WAY S.A. / 1910 S.A.  ;A;Preselección;647.00;;;;;;;;
142;20240617;200302;Larga Distancia Internacional - Saliente;DIGITAL WAY S.A. / 1910 S.A.  ;C;Tarjetas de Pago;5,742.00;;;;;;;;
143;20240617;200302;Larga Distancia Internacional - Entrante;DIGITAL WAY S.A. / 1910 S.A.  ;H;No reportado;1,159.00;;;;;;;;
144;20240617;200302;Larga Distancia Nacional;DITEL CORPORATION S.A.C.;A;Preselección;5,588.00;;;;;;;;
145;20240617;200302;Larga Distancia Internacional - Saliente;DITEL CORPORATION S.A.C.;A;Preselección;998.00;;;;;;;;
146;20240617;200302;Larga Distancia Nacional;DITEL CORPORATION S.A.C.;C;Tarjetas de Pago;38,928.00;;;;;;;;
147;20240617;200302;Larga Distancia Internacional - Saliente;DITEL CORPORATION S.A.C.;C;Tarjetas de Pago;1,276.00;;;;;;;;
148;20240617;200302;Larga Distancia Internacional - Entrante;DITEL CORPORATION S.A.C.;H;No reportado;8,607.00;;;;;;;;
149;20240617;200302;Larga Distancia Nacional;ELNATH;A;Preselección;1,779.63;;;;;;;;
150;20240617;200302;Larga Distancia Internacional - Saliente;ELNATH;A;Preselección;1,779.63;;;;;;;;
151;20240617;200302;Larga Distancia Nacional;ELNATH;C;Tarjetas de Pago;20,487.62;;;;;;;;
152;20240617;200302;Larga Distancia Internacional - Saliente;ELNATH;C;Tarjetas de Pago;30,731.42;;;;;;;;
153;20240617;200302;Larga Distancia Internacional - Entrante;ELNATH;H;No reportado;459,619.00;;;;;;;;
154;20240617;200302;Larga Distancia Nacional;FULL LINE S.A.C.;A;Preselección;808.00;;;;;;;;
155;20240617;200302;Larga Distancia Internacional - Saliente;FULL LINE S.A.C.;A;Preselección;3,099.00;;;;;;;;
156;20240617;200302;Larga Distancia Internacional - Saliente;FULL LINE S.A.C.;C;Tarjetas de Pago;21,754.00;;;;;;;;
157;20240617;200302;Larga Distancia Internacional - Entrante;FULL LINE S.A.C.;H;No reportado;1,448,718.00;;;;;;;;
158;20240617;200302;Larga Distancia Nacional;GAMACOM S.A.C.;A;Preselección;119,620.00;;;;;;;;
159;20240617;200302;Larga Distancia Internacional - Saliente;GAMACOM S.A.C.;A;Preselección;29,694.00;;;;;;;;
160;20240617;200302;Larga Distancia Nacional;GAMACOM S.A.C.;C;Tarjetas de Pago;35,222.50;;;;;;;;
161;20240617;200302;Larga Distancia Internacional - Saliente;GAMACOM S.A.C.;C;Tarjetas de Pago;8,743.40;;;;;;;;
162;20240617;200302;Larga Distancia Internacional - Entrante;GAMACOM S.A.C.;H;No reportado;4,243,001.00;;;;;;;;
163;20240617;200302;Larga Distancia Nacional;GILAT TO HOME PERÚ S.A.;C;Tarjetas de Pago;269,805.00;;;;;;;;
164;20240617;200302;Larga Distancia Internacional - Saliente;GILAT TO HOME PERÚ S.A.;C;Tarjetas de Pago;1,109.00;;;;;;;;
165;20240617;200302;Larga Distancia Nacional;GILAT TO HOME PERÚ S.A.;D;Tráfico originado en líneas de telefonía móvil;658.00;;;;;;;;
166;20240617;200302;Larga Distancia Nacional;GILAT TO HOME PERÚ S.A.;E;Tráfico originado en teléfonos de uso público de la empresa;580,215.00;;;;;;;;
167;20240617;200302;Larga Distancia Internacional - Entrante;GILAT TO HOME PERÚ S.A.C.;H;No reportado;112.00;;;;;;;;
