Año,Mes,Canal,N° de expediente,Num certificado exportacion,Sede,Razon envio,TExpoAnimal.EMBARQUE_FECHA,TExpoAnimal.DESEMBARQUE_FECHA,Producto ,Categoria de riesgo,Unidad de medida,Peso,Cantidad envase,Tipo envase,TExpoAnimal.ID_SERVICIO,Fecha inspeccion,Inspeccion hora,Medio transporte,Pc Salida,Orden vuce,Pais destino,Punto llegada,Estado,Tipo de proceso,Tasa
2023,1,BPM,230180005524,230160000007,ICA,EN ORIGEN,02/02/2023,02/02/2023,PERROS,0,NULL,0,1,KENNEL,NULL,31/01/2023,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,CHILE,NULL,ACTIVO,E,6.12
2023,1,BPM,230180002224,230160000003,ICA,EN ORIGEN,14/01/2023,14/01/2023,PERROS,0,NULL,0,1,KENNEL,NULL,12/01/2023,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,CHILE,NULL,ACTIVO,E,6.12
2023,2,BPM,230180010010,230160000010,ICA,EN ORIGEN,21/02/2023,22/02/2023,GATOS,0,NULL,0,1,KENNEL,NULL,15/02/2023,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,ARGENTINA,NULL,ACTIVO,E,6.12
2023,2,BPM,230180010617,230160000012,ICA,EN ORIGEN,22/02/2023,23/02/2023,PERROS,0,NULL,0,1,KENNEL,NULL,17/02/2023,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,ITALIA,NULL,ACTIVO,E,6.12
2023,2,BPM,230180006533,230160000009,ICA,PUESTO DE CONTROL,03/02/2023,04/02/2023,PERROS,0,NULL,0,1,EN PIE,NULL,02/02/2023,01:01:00,TERRESTRE,"SANTA ROSA, TACNA",NULL,CHILE,NULL,ACTIVO,E,6.12
2023,4,BPM,230180016237,230160000015,ICA,EN ORIGEN,27/04/2023,27/04/2023,PERROS,0,NULL,0,1,KENNEL,NULL,19/04/2023,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,VENEZUELA,NULL,ACTIVO,E,6.12
2023,4,BPM,230180015464,230160000014,ICA,EN ORIGEN,04/04/2023,04/04/2023,PERROS,0,NULL,0,1,KENNEL,NULL,03/04/2023,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,COLOMBIA,NULL,ACTIVO,E,6.12
2023,6,BPM,230180018231,230160000016,ICA,PUESTO DE CONTROL,11/06/2023,11/06/2023,PERROS,0,NULL,0,1,EN PIE,NULL,05/06/2023,01:01:00,TERRESTRE,"DESAGUADERO, PUNO",NULL,BOLIVIA,NULL,ACTIVO,E,6.12
2023,8,BPM,230180022228,230160000024,ICA,OTRO LUGAR DE INSPECCION,01/09/2023,03/09/2023,PERROS,0,NULL,0,1,KENNEL,NULL,31/08/2023,13:01:00,TERRESTRE,"AGUAS VERDES, TUMBES",NULL,COLOMBIA,NULL,ACTIVO,E,6.12
2023,8,BPM,230180022132,230160000023,ICA,EN ORIGEN,04/09/2023,04/09/2023,PERROS,0,NULL,0,1,EN PIE,NULL,29/08/2023,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,COLOMBIA,NULL,ACTIVO,E,6.12
2023,8,BPM,230180021012,230160000020,ICA,EN ORIGEN,14/08/2023,14/08/2023,PERROS,0,NULL,0,1,KENNEL,NULL,09/08/2023,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,COLOMBIA,NULL,ACTIVO,E,6.12
2023,8,BPM,230180021289,230160000021,ICA,OTRO LUGAR DE INSPECCION,16/08/2023,18/08/2023,PERROS,0,NULL,0,1,KENNEL,NULL,14/08/2023,13:01:00,TERRESTRE,"SANTA ROSA, TACNA",NULL,CHILE,NULL,ACTIVO,E,6.12
2023,8,BPM,230180020804,230160000019,ICA,OTRO LUGAR DE INSPECCION,06/08/2023,10/08/2023,PERROS,0,NULL,0,1,EN PIE,NULL,04/08/2023,01:01:00,TERRESTRE,"SANTA ROSA, TACNA",NULL,ARGENTINA,NULL,ACTIVO,E,6.12
2023,9,BPM,230180022541,230160000027,ICA,EN ORIGEN,09/09/2023,09/09/2023,PERROS,0,NULL,0,1,KENNEL,NULL,06/09/2023,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,CHILE,NULL,ACTIVO,E,6.12
2023,9,BPM,230180023345,230160000028,ICA,PUESTO DE CONTROL,23/09/2023,28/09/2023,PERROS,0,NULL,0,1,KENNEL,NULL,20/09/2023,03:00:00,TERRESTRE,PUESTO DE CONTROL TERRESTRE DESAGUADERO,NULL,ARGENTINA,NULL,ACTIVO,E,6.12
2023,9,BPM,230180022357,230160000025,ICA,OTRO LUGAR DE INSPECCION,02/09/2023,03/09/2023,PERROS,0,NULL,0,1,EN PIE,NULL,01/09/2023,01:01:00,TERRESTRE,"SANTA ROSA, TACNA",NULL,CHILE,NULL,ACTIVO,E,6.12
2023,11,BPM,230180030400,230160000031,ICA,EN ORIGEN,07/12/2023,08/12/2023,GATOS,0,NULL,0,1,KENNEL,NULL,01/12/2023,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,VENEZUELA,NULL,ACTIVO,E,6.12
2023,11,BPM,230180030395,230160000030,ICA,EN ORIGEN,07/12/2023,08/12/2023,GATOS,0,NULL,0,1,KENNEL,NULL,01/12/2023,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,VENEZUELA,NULL,ACTIVO,E,6.12
2023,11,BPM,230180027965,230160000029,ICA,EN ORIGEN,21/11/2023,22/11/2023,PERROS,0,NULL,0,1,EN PIE,NULL,17/11/2023,01:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,COLOMBIA,NULL,ACTIVO,E,6.12
